heuristic,workload,configuration,metsla,sla,predict
OC,600,3_c3_large,false,10000,true
OC,600,2_c3_xlarge,false,10000,true
OC,600,3_m3_large,false,10000,true
OC,600,1_c3_2xlarge,false,10000,true
OC,600,4_c3_large,false,10000,true
OC,600,4_m3_large,false,10000,false
OC,600,2_m3_xlarge,false,10000,false
OC,600,1_m3_2xlarge,false,10000,false
OC,600,3_c3_xlarge,false,10000,true
OC,600,4_c3_xlarge,false,10000,true
OC,600,2_c3_2xlarge,false,10000,true
OC,600,3_m3_xlarge,false,10000,true
OC,600,2_m3_2xlarge,false,10000,true
OC,600,4_m3_xlarge,false,10000,true
OC,600,3_c3_2xlarge,false,10000,true
OC,600,4_c3_2xlarge,false,10000,false
OC,600,3_m3_2xlarge,false,10000,false
OC,600,4_m3_2xlarge,false,10000,false
OC,700,1_m3_medium,false,10000,true
OC,700,1_c3_large,false,10000,true
OC,700,1_m3_large,false,10000,true
OC,700,2_m3_medium,false,10000,true
OC,700,2_c3_large,false,10000,true
OC,700,1_c3_xlarge,false,10000,true
OC,700,3_m3_medium,false,10000,true
OC,700,2_m3_large,false,10000,true
OC,700,1_m3_xlarge,false,10000,true
OC,700,4_m3_medium,false,10000,true
OC,700,3_c3_large,false,10000,true
OC,700,2_c3_xlarge,false,10000,true
OC,700,3_m3_large,false,10000,true
OC,700,1_c3_2xlarge,false,10000,true
OC,700,4_c3_large,false,10000,true
OC,700,4_m3_large,false,10000,true
OC,700,2_m3_xlarge,false,10000,true
OC,700,1_m3_2xlarge,false,10000,true
OC,700,3_c3_xlarge,false,10000,false
OC,700,4_c3_xlarge,false,10000,true
OC,700,2_c3_2xlarge,false,10000,true
OC,700,3_m3_xlarge,false,10000,true
OC,700,2_m3_2xlarge,false,10000,true
OC,700,4_m3_xlarge,false,10000,true
OC,700,3_c3_2xlarge,false,10000,false
OC,700,4_c3_2xlarge,false,10000,false
OC,700,3_m3_2xlarge,false,10000,true
OC,700,4_m3_2xlarge,false,10000,false
OC,800,1_m3_medium,false,10000,true
OC,800,1_c3_large,false,10000,true
OC,800,1_m3_large,false,10000,true
OC,800,2_m3_medium,false,10000,true
OC,800,2_c3_large,false,10000,true
