heuristic,workload,configuration,metsla,sla,predict
CP,500,3_m3_large,false,10000,true
CP,500,1_c3_2xlarge,false,10000,true
CP,500,4_c3_large,false,10000,true
CP,500,4_m3_large,false,10000,true
CP,500,2_m3_xlarge,false,10000,true
CP,500,1_m3_2xlarge,false,10000,true
CP,500,3_c3_xlarge,false,10000,true
CP,500,4_c3_xlarge,false,10000,false
CP,500,2_c3_2xlarge,false,10000,true
CP,500,3_m3_xlarge,false,10000,true
CP,500,2_m3_2xlarge,false,10000,true
CP,500,4_m3_xlarge,false,10000,true
CP,500,3_c3_2xlarge,false,10000,false
CP,500,4_c3_2xlarge,true,10000,false
CP,500,3_m3_2xlarge,false,10000,true
CP,500,4_m3_2xlarge,false,10000,false
CP,600,1_m3_medium,false,10000,true
CP,600,1_c3_large,false,10000,true
CP,600,1_m3_large,false,10000,true
CP,600,2_m3_medium,false,10000,true
CP,600,2_c3_large,false,10000,true
CP,600,1_c3_xlarge,false,10000,true
CP,600,3_m3_medium,false,10000,true
CP,600,2_m3_large,false,10000,true
CP,600,1_m3_xlarge,false,10000,true
CP,600,4_m3_medium,false,10000,true
CP,600,3_c3_large,false,10000,true
CP,600,2_c3_xlarge,false,10000,true
CP,600,3_m3_large,false,10000,true
CP,600,1_c3_2xlarge,false,10000,true
CP,600,4_c3_large,false,10000,true
CP,600,4_m3_large,false,10000,true
CP,600,2_m3_xlarge,false,10000,true
CP,600,1_m3_2xlarge,false,10000,true
CP,600,3_c3_xlarge,false,10000,true
CP,600,4_c3_xlarge,false,10000,true
CP,600,2_c3_2xlarge,false,10000,true
CP,600,3_m3_xlarge,false,10000,true
CP,600,2_m3_2xlarge,false,10000,true
CP,600,4_m3_xlarge,false,10000,true
CP,600,3_c3_2xlarge,false,10000,true
CP,600,4_c3_2xlarge,false,10000,false
CP,600,3_m3_2xlarge,false,10000,true
CP,600,4_m3_2xlarge,false,10000,false
CP,700,1_m3_medium,false,10000,true
CP,700,1_c3_large,false,10000,true
CP,700,1_m3_large,false,10000,true
CP,700,2_m3_medium,false,10000,true
CP,700,2_c3_large,false,10000,true
CP,700,1_c3_xlarge,false,10000,true
CP,700,3_m3_medium,false,10000,true
CP,700,2_m3_large,false,10000,true
CP,700,1_m3_xlarge,false,10000,true
CP,700,4_m3_medium,false,10000,true
CP,700,3_c3_large,false,10000,true
CP,700,2_c3_xlarge,false,10000,true
CP,700,3_m3_large,false,10000,true
CP,700,1_c3_2xlarge,false,10000,true
CP,700,4_c3_large,false,10000,true
CP,700,4_m3_large,false,10000,true
CP,700,2_m3_xlarge,false,10000,true
CP,700,1_m3_2xlarge,false,10000,true
CP,700,3_c3_xlarge,false,10000,true
CP,700,4_c3_xlarge,false,10000,true
CP,700,2_c3_2xlarge,false,10000,true
CP,700,3_m3_xlarge,false,10000,true
CP,700,2_m3_2xlarge,false,10000,true
CP,700,4_m3_xlarge,false,10000,true
CP,700,3_c3_2xlarge,false,10000,true
CP,700,4_c3_2xlarge,false,10000,true
CP,700,3_m3_2xlarge,false,10000,true
CP,700,4_m3_2xlarge,false,10000,true
CP,800,1_m3_medium,false,10000,true
CP,800,1_c3_large,false,10000,true
CP,800,1_m3_large,false,10000,true
CP,800,2_m3_medium,false,10000,true
CP,800,2_c3_large,false,10000,true
CP,800,1_c3_xlarge,false,10000,true
CP,800,3_m3_medium,false,10000,true
CP,800,2_m3_large,false,10000,true
CP,800,1_m3_xlarge,false,10000,true
CP,800,4_m3_medium,false,10000,true
CP,800,3_c3_large,false,10000,true
CP,800,2_c3_xlarge,false,10000,true
